short_name,greeting,position,date,b1_dummy,b2_dummy,b3_dummy,b4_dummy
winn,Mr,assistant to the board,19980701,,,,
ettin,Mr,deputy director,19980701,,,,
madigan,Mr,associate director,19980701,,,,
slifman,Mr,associate director,19980701,,,,
alexander,Mr,associate director,19980701,,,,
hooper,Mr,associate director,19980701,,,,
johnson,Ms,associate director,19980701,,,,
reinhart,Mr,assistant director,19980701,,,,
small,Mr,section chief,19980701,,,,
reifschneider,Mr,section chief,19980701,,,,
whitesell,Mr,section chief,19980701,,,,
kusko,Ms,senior economist,19980701,,,,
elmendorf,Mr,economist,19980701,,,,
garrett,Ms,economist,19980701,,,,
low,Ms,open market secretariat assistant,19980701,,,,
barron,Mr,first vice president,19980701,,,,
beebe,Mr,senior vice president,19980701,,,,
eisenbeis,Mr,senior vice president,19980701,,,,
goodfriend,Mr,senior vice president,19980701,,,,
hunter,Mr,senior vice president,19980701,,,,
lang,Mr,senior vice president,19980701,,,,
steindel,Mr,senior vice president,19980701,,,,
perelmuter,Ms,vice president,19980701,,,,
bryan,Mr,assistant vice president,19980701,,,,
weber,Mr,senior research officer,19980701,,,,
bernanke,Mr,chairman,20090429,,,,
dudley,Mr,vice chairman,20090429,,,,
duke,Ms,governor,20090429,,,,
evans,Mr,president,20090429,,,,
kohn,Mr,governor,20090429,,,,
lacker,Mr,president,20090429,,,,
lockhart,Mr,president,20090429,,,,
tarullo,Mr,governor,20090429,,,,
warsh,Mr,governor,20090429,,,,
yellen,Ms,president,20090429,,,,
bullard,Mr,president,20090429,,,,
cumming,Ms,first vice president,20090429,,,,
hoenig,Mr,president,20090429,,,,
pianalto,Ms,president,20090429,,,,
rosengren,mr,president,20090429,,,,
fisher,Mr,president,20090429,,,,
plosser,Mr,president,20090429,,,,
stern,Mr,president,20090429,,,,
madigan,Mr,secretary and economist,20090429,,,,
danker,Ms,deputy secretary,20090429,,,,
luecke,Mr,assistant secretary,20090429,,,,
skidmore,Mr,assistant secretary,20090429,,,,
smith,Ms,assistant secretary,20090429,,,,
alvarez,Mr,general counsel,20090429,,,,
sheets,Mr,economist,20090429,,,,
stockton,Mr,economist,20090429,,,,
altig,Mr,associate economist,20090429,,,,
clouse,Mr,associate economist,20090429,,,,
connors,Mr,associate economist,20090429,,,,
kamin,Mr,associate economist,20090429,,,,
slifman,Mr,associate economist,20090429,,,,
sullivan,Mr,associate economist,20090429,,,,
wilcox,Mr,associate economist,20090429,,,,
williams,Mr,associate economist,20090429,,,,
mosser,Ms,temporary manager,20090429,,,,
johnson,Ms,secretary of the board,20090429,,,,
frierson,Mr,deputy secretary,20090429,,,,
struckmeyer,Mr,deputy staff director,20090429,,,,
barger,Ms,deputy director,20090429,,,,
english,Mr,deputy director,20090429,,,,
blanchard,Mr,assistant to the board,20090429,,,,
levin,Mr,associate director,20090429,,,,
nelson,Mr,associate director,20090429,,,,
reifschneider,Mr,associate director,20090429,,,,
wascher,Mr,associate director,20090429,,,,
meyer,Mr,senior adviser,20090429,,,,
carpenter,Mr,deputy associate director,20090429,,,,
palumbo,Mr,assistant director,20090429,,,,
small,Mr,project manager,20090429,,,,
judson,Ms,economist,20090429,,,,
nichols,Mr,economist,20090429,,,,
beattie,Ms,assistant to the secretary,20090429,,,,
low,Ms,open market secretariat specialist,20090429,,,,
barron,Mr,first vice president,20090429,,,,
rosenblum,Mr,executive vice president,20090429,,,,
sniderman,Mr,executive vice president,20090429,,,,
hakkio,Mr,senior vice president,20090429,,,,
mester,Ms,senior vice president,20090429,,,,
rasche,Mr,senior vice president,20090429,,,,
rolnick,Mr,senior vice president,20090429,,,,
burke,Mr,vice president,20090429,,,,
hornstein,Mr,vice president,20090429,,,,
olivei,Mr,vice president,20090429,,,,
rich,Mr,assistant vice president,20090429,,,,
yellen,Ms,chair,20160615,,,,
dudley,Mr,vice chairman,20160615,,,,
brainard,Ms,governor,20160615,,,,
bullard,Mr,president,20160615,,,,
fischer,Mr,president,20160615,,,,
george,Ms,president,20160615,,,,
mester,Ms,president,20160615,,,,
powell,Mr,governor,20160615,,,,
rosengren,Mr,president,20160615,,,,
tarullo,Mr,governor,20160615,,,,
evans,Mr,president,20160615,,,,
harker,Mr,president,20160615,,,,
kaplan,Mr,president,20160615,,,,
kashkari,Mr,president,20160615,,,,
lacker,Mr,president,20160615,,,,
lockhart,Mr,president,20160615,,,,
williams,Mr,president,20160615,,,,
madigan,Mr,secretary,20160615,,,,
luecke,Mr,deputy secretary,20160615,,,,
skidmore,Mr,assistant secretary,20160615,,,,
smith,Ms,assistant secretary,20160615,,,,
alvarez,Mr,general counsel,20160615,,,,
kamin,Mr,economist,20160615,,,,
laubach,Mr,economist,20160615,,,,
wilcox,Mr,economist,20160615,,,,
connors,Mr,associate economist,20160615,,,,
leahy,Mr,associate economist,20160615,,,,
lebow,Mr,associate economist,20160615,,,,
mccarthy,Mr,associate economist,20160615,,,,
meyer,Mr,associate economist,20160615,,,,
tallman,Mr,associate economist,20160615,,,,
waller,Mr,associate economist,20160615,,,,
wascher,Mr,associate economist,20160615,,,,
potter,Mr,system open market account manager,20160615,,,,
logan,Ms,deputy manager,20160615,,,,
frierson,Mr,secretary of the board,20160615,,,,
gibson,Mr,director,20160615,,,,
clouse,Mr,deputy director,20160615,,,,
lehnert,Mr,deputy director,20160615,,,,
bowman,Mr,special adviser to the board,20160615,,,,
figura,Mr,special adviser to the board,20160615,,,,
mckeehan,Ms,special adviser to the board,20160615,,,,
reifschneider,Mr,special adviser to the board,20160615,,,,
tevlin,Ms,special adviser to the board,20160615,,,,
reeve,Mr,special adviser to the chair,20160615,,,,
robertson,Ms,assistant to the board,20160615,,,,
natalucci,Mr,senior associate director,20160615,,,,
wilson,Ms,senior associate director,20160615,,,,
kiley,Mr,senior adviser,20160615,,,,
bomfim,Mr,senior adviser,20160615,,,,
meade,Ms,senior adviser,20160615,,,,
zickler,Ms,senior adviser,20160615,,,,
rudd,Mr,senior adviser,20160615,,,,
ahmed,Mr,deputy associate director,20160615,,,,
gust,Mr,assistant director,20160615,,,,
wu,Mr,assistant director,20160615,,,,
smith,Mr,assistant director,20160615,,,,
engstrom,Mr,adviser,20160615,,,,
mccabe,Mr,adviser,20160615,,,,
beattie,Ms,assistant to the secretary,20160615,,,,
berger,Mr,senior economic project manager,20160615,,,,
small,Mr,project manager,20160615,,,,
dunn,Ms,principal economist,20160615,,,,
rezende,Mr,principal economist,20160615,,,,
herbst,Mr,senior economist,20160615,,,,
tanaka,Mr,senior economist,20160615,,,,
williams,Mr,information manager,20160615,,,,
sapenaro,Mr,first vice president,20160615,,,,
altig,Mr,executive vice president,20160615,,,,
athreya,Mr,executive vice president,20160615,,,,
fuhrer,Mr,executive vice president,20160615,,,,
heller,Ms,senior vice president,20160615,,,,
koenig,Mr,senior vice president,20160615,,,,
krane,Mr,senior vice president,20160615,,,,
armenter,Mr,vice president,20160615,,,,
bell,Ms,vice president,20160615,,,,
jorda,Mr,vice president,20160615,,,,
kahn,Mr,vice president,20160615,,,,
arellano,Ms,senior research economist,20160615,,,,
yellen,Ms,chairman,20140319,,,,
dudley,Mr,vice chairman,20140319,,,,
fisher,Mr,president,20140319,,,,
kocherlakota,Mr,president,20140319,,,,
pianalto,Ms,president,20140319,,,,
plosser,Mr,president,20140319,,,,
powell,Mr,governor,20140319,,,,
stein,Mr,governor,20140319,,,,
tarullo,Mr,governor,20140319,,,,
cumming,Ms,first vice president,20140319,,,,
evans,Mr,president,20140319,,,,
lacker,Mr,president,20140319,,,,
lockhart,Mr,president,20140319,,,,
williams,Mr,president,20140319,,,,
bullard,Mr,president,20140319,,,,
george,Ms,president,20140319,,,,
rosengren,Mr,president,20140319,,,,
english,Mr,secretary and economist,20140319,,,,
luecke,Mr,deputy secretary,20140319,,,,
smith,Ms,assistant secretary,20140319,,,,
alvarez,Mr,general counsel,20140319,,,,
baxter,Mr,deputy general counsel,20140319,,,,
kamin,Mr,economist,20140319,,,,
wilcox,Mr,economist,20140319,,,,
clouse,Mr,associate economist,20140319,,,,
connors,Mr,associate economist,20140319,,,,
koenig,Mr,associate economist,20140319,,,,
laubach,Mr,associate economist,20140319,,,,
leahy,Mr,associate economist,20140319,,,,
mester,Ms,associate economist,20140319,,,,
schulhofer-wohl,Mr,associate economist,20140319,,,,
